,Filename,Eint_H2O,original_SMILES,CanonSMILES,Class_label,tail_atom_ids_r1,tail_atom_ids_r2
431,CNCCCCN,-0.036394,CNCCCCN,CNCCCCN,1,"(0, 1)","(2,)"
433,CNCCCN,-0.03191,CNCCCN,CNCCCN,1,"(0, 1)","(2,)"
434,CN_CC_CN,-0.155416,CN=CC=CN,CN=CC=CN,1,"(0, 1)","(2,)"
435,CNC_CCN,-0.032545,CNC=CCN,CNC=CCN,1,"(0, 1)","(2,)"
436,CNCC_CN,-0.04222,CNCC=CN,CNCC=CN,1,"(0, 1)","(2,)"
437,CNCCCNN,-0.033584,CNCCCNN,CNCCCNN,1,"(0, 1)","(2,)"
438,CNCCN,-0.027882,CNCCN,CNCCN,1,"(0, 1)","(2,)"
440,CNCCNC1_CC_C-C_C1-N,-0.027434,CNCCNC1=CC=C(C=C1)N,CNCCNc1ccc(N)cc1,1,"(0, 1)","(2,)"
441,CNCCNCN,-0.032134,CNCCNCN,CNCCNCN,1,"(0, 1)","(2,)"
442,CNCCN_CN,-0.026524,CNCCN=CN,CNCCN=CN,1,"(0, 1)","(2,)"
443,CNCCNN,-0.011232,CNCCNN,CNCCNN,1,"(0, 1)","(2,)"
444,CN_CC_NN,-0.050273,CN=CC=NN,CN=CC=NN,1,"(0, 1)","(2,)"
445,CNCCNNN,-0.034364,CNCCNNN,CNCCNNN,1,"(0, 1)","(2,)"
446,CNCCN_NN,-0.028673,CNCCN=NN,CNCCN=NN,1,"(0, 1)","(2,)"
447,CNCCOCN,-0.039764,CNCCOCN,CNCCOCN,1,"(0, 1)","(2,)"
448,CNCCON,-0.024499,CNCCON,CNCCON,1,"(0, 1)","(2,)"
449,CNCN,-0.026732,CNCN,CNCN,1,"(0, 1)","(2,)"
450,CN_CN,-0.047564,CN=CN,CN=CN,1,"(0, 1)","(2,)"
451,CNCNC1_CC_C-C_C1-N,-0.032454,CNCNC1=CC=C(C=C1)N,CNCNc1ccc(N)cc1,1,"(0, 1)","(2,)"
453,CNCNCCN,-0.030424,CNCNCCN,CNCNCCN,1,"(0, 1)","(2,)"
454,CNCNCN,-0.0229,CNCNCN,CNCNCN,1,"(0, 1)","(2,)"
455,CN_CN_CN,-0.147968,CN=CN=CN,CN=CN=CN,1,"(0, 1)","(2,)"
456,CN_CN_CN_CN,-0.176563,CN=CN=CN=CN,CN=CN=CN=CN,1,"(0, 1)","(2,)"
457,CNCNCNN,-0.025904,CNCNCNN,CNCNCNN,1,"(0, 1)","(2,)"
458,C-_NC_NC_N-N,-0.339927,C(=NC=NC=N)N,N=CN=CN=CN,1,"(0, 1)","(2,)"
459,CNCNN,-0.02745,CNCNN,CNCNN,1,"(0, 1)","(2,)"
460,C-_N-C_NN,-0.316986,C(=N)C=NN,N=CC=NN,1,"(0, 1)","(2,)"
461,CN_CNN,-0.024752,CN=CNN,CN=CNN,1,"(0, 1)","(2,)"
462,CNCNNN,-0.051376,CNCNNN,CNCNNN,1,"(0, 1)","(2,)"
463,CN_CN_NN,-0.11857,CN=CN=NN,CN=CN=NN,1,"(0, 1)","(2,)"
464,CNCOC1_CC_C-C_C1-N,-0.073544,CNCOC1=CC=C(C=C1)N,CNCOc1ccc(N)cc1,1,"(0, 1)","(2,)"
465,CNCOCCN,-0.030554,CNCOCCN,CNCOCCN,1,"(0, 1)","(2,)"
466,CNCOCN,-0.041884,CNCOCN,CNCOCN,1,"(0, 1)","(2,)"
467,CNCON,-0.021621,CNCON,CNCON,1,"(0, 1)","(2,)"
468,C-_NC_O-N,-0.312946,C(=NC=O)N,NC=NC=O,1,"(3, 4)","(2,)"
469,C-NC_O-NN,-0.264436,C(NC=O)NN,NNCNC=O,1,"(4, 5)","(3,)"
471,CNNC1_CC_C-C_C1-CN,-0.067474,CNNC1=CC=C(C=C1)CN,CNNc1ccc(CN)cc1,1,"(0, 1)","(2,)"
472,CNNCC1_CC_C-C_C1-N,-0.045304,CNNCC1=CC=C(C=C1)N,CNNCc1ccc(N)cc1,1,"(0, 1)","(2,)"
473,CNNCCC1_CC_C-C_C1-N,-0.055954,CNNCCC1=CC=C(C=C1)N,CNNCCc1ccc(N)cc1,1,"(0, 1)","(2,)"
474,CNNCCCN,-0.047834,CNNCCCN,CNNCCCN,1,"(0, 1)","(2,)"
476,CNNCCNN,-0.032664,CNNCCNN,CNNCCNN,1,"(0, 1)","(2,)"
477,CNNCCON,-0.038136,CNNCCON,CNNCCON,1,"(0, 1)","(2,)"
478,CNNCN,-0.030799,CNNCN,CNNCN,1,"(0, 1)","(2,)"
479,C-N-NCN,-0.426003,C(N)NCN,NCNCN,1,"(3, 4)","(2,)"
481,CNN_CN,-0.219718,CNN=CN,CNN=CN,1,"(0, 1)","(2,)"
482,CNNCNN,-0.04524,CNNCNN,CNNCNN,1,"(0, 1)","(2,)"
483,C-_NN_CN-N,-0.253027,C(=NN=CN)N,NC=NN=CN,1,"(4, 5)","(3,)"
485,C-N-NCNN,-0.479228,C(N)NCNN,NCNCNN,1,"(0, 1)","(2,)"
486,C-_NN-N,-0.249782,C(=NN)N,NC=NN,1,"(2, 3)","(1,)"
